OrderID,CurrClinNameAll,ClinCityCode,state_code,MedicalDirector,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDHealthSnglLB_TransRate1,FshNDHealthSnglLB_TransRate2,FshNDHealthSnglLB_TransRate3,FshNDHealthSnglLB_TransRate4,FshNDHealthSnglLB_TransRate5,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDHealthSnglLB_TransRate1,ThwNDHealthSnglLB_TransRate2,ThwNDHealthSnglLB_TransRate3,ThwNDHealthSnglLB_TransRate4,ThwNDHealthSnglLB_TransRate5,state_code,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,DonorEgg,DonorEmbryo,EmbryoCryo,EggCryo,SingleWomen,Surrogates,SART_Member,ClinStateCode,state_code
1,Alabama Fertility Specialists,BIRMINGHAM,AL,"Janet M. Bouknight, MD",36.4,1 / 5,2 / 9,0 / 1,,22.7,1 / 5,1 / 9,0 / 1,,4 / 9,1 / 8,3 / 5,,,2 / 9,0 / 8,2 / 5,,,AL,22,5,9,1,0,,9,8,5,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ALABAMA,AL
2,ART Fertility Program of Alabama,BIRMINGHAM,AL,"Virginia L. Houserman, MD",40,54.2,3 / 11,0 / 4,0 / 1,24.6,20.8,2 / 11,0 / 4,0 / 1,35.1,6 / 17,4 / 16,1 / 4,1 / 2,21.1,3 / 17,1 / 16,0 / 4,0 / 2,AL,65,24,11,4,1,,57,17,16,4,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ALABAMA,AL
3,"University of Alabama at Birmingham, Reproductive Endocrinology and Infertility",BIRMINGHAM,AL,"G. Wright Bates, MD",50,0 / 4,3 / 5,0 / 2,,42.9,0 / 4,1 / 5,0 / 2,,56.1,46.9,6 / 14,0 / 2,,42.1,37.5,4 / 14,0 / 2,,AL,28,4,5,2,0,,57,32,14,2,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ALABAMA,AL
4,Center for Reproductive Medicine,MOBILE,AL,"George T. Koulianos, MD",44.2,8 / 17,6 / 13,0 / 1,,30.2,5 / 17,3 / 13,0 / 1,,47.1,7 / 19,7 / 19,1 / 3,1 / 2,32.9,5 / 19,4 / 19,0 / 3,0 / 2,AL,43,17,13,1,0,,70,19,19,3,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ALABAMA,AL
5,University of South Alabama IVF and ART Program,MOBILE,AL,"Botros M. Rizk, MD",5 / 10,1 / 5,0 / 1,0 / 4,0 / 2,1 / 10,1 / 5,0 / 1,0 / 4,0 / 2,1 / 5,,0 / 1,0 / 1,,1 / 5,,0 / 1,0 / 1,,AL,10,5,1,4,2,,5,0,1,1,0,No,No,Yes,Yes,Yes,No,Yes,ALABAMA,AL
6,New Direction Fertility Centers,GILBERT,AZ,"Mark Amols, MD",3 / 3,,,,0 / 1,2 / 3,,,,0 / 1,64.1,59.4,56.7,3 / 7,4 / 7,35.9,29.7,30,2 / 7,2 / 7,AZ,3,0,0,0,1,,184,64,30,7,7,No,No,Yes,Yes,Yes,No,No,ARIZONA,AZ
7,Troché Fertility Centers,GLENDALE,AZ,"Vladimir Troché, MD",56.7,56,1 / 13,1 / 2,0 / 4,26.7,24,0 / 13,1 / 2,0 / 4,25,5 / 12,5 / 11,1 / 2,2 / 5,15,5 / 12,5 / 11,1 / 2,1 / 5,AZ,30,25,13,2,4,,40,12,11,2,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ARIZONA,AZ
8,Arizona Reproductive Medicine Specialists,PHOENIX,AZ,"Drew V. Moffitt, MD",0 / 1,,,1 / 1,0 / 1,0 / 1,,,1 / 1,0 / 1,40.6,32.7,48.1,1 / 6,4 / 10,29.2,24.5,37,0 / 6,3 / 10,AZ,1,0,0,1,1,,96,49,27,6,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ARIZONA,AZ
9,Gondra Center for Reproductive Care & Advanced Gynecology,PHOENIX,AZ,"Maria M. Gondra, MD",2 / 2,,,1 / 1,,0 / 2,,,1 / 1,,0 / 1,0 / 1,,0 / 2,,0 / 1,0 / 1,,0 / 2,,AZ,2,0,0,1,0,,1,1,0,2,0,No,No,Yes,Yes,Yes,Yes,No,ARIZONA,AZ
10,Southwest Fertility Center,PHOENIX,AZ,"Sujatha Gunnala, MD",7 / 19,1 / 5,1 / 5,1 / 2,0 / 4,4 / 19,0 / 5,1 / 5,0 / 2,0 / 4,7 / 15,6 / 10,3 / 6,1 / 2,1 / 4,5 / 15,3 / 10,2 / 6,0 / 2,1 / 4,AZ,19,5,5,2,4,,15,10,6,2,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ARIZONA,AZ
11,"Advanced Fertility Care, PLLC",SCOTTSDALE,AZ,"Frederick W. Larsen, MD",38.4,48.8,5 / 15,2 / 7,1 / 3,34.2,29.3,4 / 15,1 / 7,1 / 3,63,56.7,11 / 14,2 / 3,,42.6,46.7,9 / 14,2 / 3,,AZ,73,41,15,7,3,,54,30,14,3,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ARIZONA,AZ
12,Arizona Associates for Reproductive Health,SCOTTSDALE,AZ,"Ketan S. Patel, MD",6 / 13,1 / 6,2 / 4,0 / 2,0 / 1,5 / 13,1 / 6,2 / 4,0 / 2,0 / 1,58.8,44.4,33.3,3 / 5,1 / 2,39.7,33.3,29.2,3 / 5,1 / 2,AZ,13,6,4,2,1,,68,27,24,5,2,Yes,No,Yes,Yes,Yes,Yes,Yes,ARIZONA,AZ
13,"Arizona Center for Fertility Studies, (ACFS)",SCOTTSDALE,AZ,"Jay S. Nemiro, MD",,,,,,,,,,,7 / 13,7 / 13,6 / 8,3 / 6,2 / 3,3 / 13,4 / 13,2 / 8,1 / 6,1 / 3,AZ,0,0,0,0,0,,13,13,8,6,3,Yes,Yes,Yes,Yes,Yes,Yes,No,ARIZONA,AZ
