OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,TotNumberCycles,TotUsingFrozenEggs,MedicalDirector,IVF_Rate,Unstimulated_Rate,Gest_Rate,ICSI_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDeSETRate1,FshNDeSETRate2,FshNDeSETRate3,FshNDeSETRate4,FshNDeSETRate5,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshNDSnglLBRate1,FshNDSnglLBRate2,FshNDSnglLBRate3,FshNDSnglLBRate4,FshNDSnglLBRate5,FshNDTwinLBRate1,FshNDTwinLBRate2,FshNDTwinLBRate3,FshNDTwinLBRate4,FshNDTwinLBRate5,FshNDHealthSnglLBRate1,FshNDHealthSnglLBRate2,FshNDHealthSnglLBRate3,FshNDHealthSnglLBRate4,FshNDHealthSnglLBRate5,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDTransPregRate1,FshNDTransPregRate2,FshNDTransPregRate3,FshNDTransPregRate4,FshNDTransPregRate5,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDTwinLB_TransRate1,FshNDTwinLB_TransRate2,FshNDTwinLB_TransRate3,FshNDTwinLB_TransRate4,FshNDTwinLB_TransRate5,FshNDHealthSnglLB_TransRate1,FshNDHealthSnglLB_TransRate2,FshNDHealthSnglLB_TransRate3,FshNDHealthSnglLB_TransRate4,FshNDHealthSnglLB_TransRate5,ThwNDTotCycles1,ThwNDTotCycles2,ThwNDTotCycles3,ThwNDTotCycles4,ThwNDTotCycles5,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDEstTransPerRetrievRate1,ThwNDEstTransPerRetrievRate2,ThwNDEstTransPerRetrievRate3,ThwNDEstTransPerRetrievRate4,ThwNDEstTransPerRetrievRate5,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,ThwNDImplant1,ThwNDImplant2,ThwNDImplant3,ThwNDImplant4,ThwNDImplant5,ThwNDTransPregRate1,ThwNDTransPregRate2,ThwNDTransPregRate3,ThwNDTransPregRate4,ThwNDTransPregRate5,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDSnglLB_TransRate1,ThwNDSnglLB_TransRate2,ThwNDSnglLB_TransRate3,ThwNDSnglLB_TransRate4,ThwNDSnglLB_TransRate5,ThwNDTwinLB_TransRate1,ThwNDTwinLB_TransRate2,ThwNDTwinLB_TransRate3,ThwNDTwinLB_TransRate4,ThwNDTwinLB_TransRate5,ThwNDHealthSnglLB_TransRate1,ThwNDHealthSnglLB_TransRate2,ThwNDHealthSnglLB_TransRate3,ThwNDHealthSnglLB_TransRate4,ThwNDHealthSnglLB_TransRate5,TotBankingCycles1,TotBankingCycles2,TotBankingCycles3,TotBankingCycles4,TotBankingCycles5,TotBankLTCycles1,TotBankLTCycles2,TotBankLTCycles3,TotBankLTCycles4,TotBankLTCycles5,FshDnrEggTotCycles,ThwDnrEggTotCycles,ThwDnrEmbTotCycles,DonatedEmbCycles,FshDnrEggTransfers,ThwDnrEggTransfers,ThwDnrEmbTransfers,DonatedEmbTransfers,FshDnrEggRate,ThwDnrEggRate,ThwDnrEmbRate,DonatedEmbRate,FshDnrEggImplant,ThwDnrEggImplant,ThwDnrEmbImplant,DonatedEmbImplant,FshDnrEggTransPregRate,ThwDnrEggTransPregRate,ThwDnrEmbTransPregRate,DonatedEmbTransPregRate,FshDnrEggLvBirths_TransRate,ThwDnrEggLvBirths_TransRate,ThwDnrEmbLvBirths_TransRate,DonatedEmbLvBirths_TransRate,FshDnrEggSnglLB_TransRate,ThwDnrEggSnglLB_TransRate,ThwDnrEmbSnglLB_TransRate,DonatedEmbSnglLB_TransRate,FshDnrEggTwinLvBirths_TransRate,ThwDnrEggTwinLvBirths_TransRate,ThwDnrEmbTwinLvBirths_TransRate,DonatedEmbTwinLvBirths_TransRate,FshDnrEggHealthSnglLB_TransRate,ThwDnrEggSngLB_TransRate,ThwDnrEmbSngLB_TransRate,DonatedEmbSngLB_TransRate,ReorgOrClosedMessage,CurrClinNameAll,DonorEgg,DonorEmbryo,EmbryoCryo,EggCryo,SingleWomen,Surrogates,SART_Member,Accreditation,TotExcludedResearchCycles,state_code
1,ALABAMA FERTILITY SPECIALISTS,,BIRMINGHAM,ALABAMA,92,0,"Janet M. Bouknight, MD",100%,0%,0%,39%,0%,24%,32%,21%,21%,6%,44%,15%,1%,18%,33%,29,11,12,1,0,20.7,6 / 11,3 / 12,0 / 1,,22,5,9,1,0,2.0,2.0,2.6,2.0,,0.0,1 / 4,0 / 9,0 / 1,,27.6,2 / 11,2 / 12,0 / 1,,27.6,1 / 11,2 / 12,0 / 1,,20.7,1 / 11,1 / 12,0 / 1,,6.9,0 / 11,1 / 12,0 / 1,,17.2,1 / 11,1 / 12,0 / 1,,22.2,1 / 7,21.7,0 / 2,,36.4,2 / 5,2 / 9,0 / 1,,36.4,1 / 5,2 / 9,0 / 1,,27.3,1 / 5,1 / 9,0 / 1,,9.1,0 / 5,1 / 9,0 / 1,,22.7,1 / 5,1 / 9,0 / 1,,9,9,5,0,0,9,8,5,0,0,1.8,4.0,1.3,,,2.1,1.8,2.6,,,6 / 19,2 / 12,3 / 13,,,4 / 9,2 / 8,3 / 5,,,4 / 9,1 / 8,3 / 5,,,2 / 9,0 / 8,3 / 5,,,2 / 9,1 / 8,0 / 5,,,2 / 9,0 / 8,2 / 5,,,1,0,0,0,0,1,0,0,0,0,4,1,4,6,4,1,4,5,2.0,2.0,2.0,1.6,4 / 8,0 / 2,1 / 8,1 / 8,2 / 4,0 / 1,1 / 4,1 / 5,2 / 4,0 / 1,1 / 4,1 / 5,2 / 4,0 / 1,1 / 4,1 / 5,0 / 4,0 / 1,0 / 4,0 / 5,2 / 4,0 / 1,1 / 4,1 / 5,,Alabama Fertility Specialists,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AL
2,ART FERTILITY PROGRAM OF ALABAMA,,BIRMINGHAM,ALABAMA,376,0,"Virginia L. Houserman, MD",100%,<1%,<1%,70%,6%,27%,8%,18%,21%,3%,70%,56%,1%,15%,54%,87,36,21,4,3,5.7,13.9,33.3,0 / 4,2 / 3,65,24,11,4,1,1.7,1.9,2.1,2.5,2.0,14.5,0.0,0 / 9,0 / 4,0 / 1,33.3,44.4,19.0,0 / 4,0 / 3,29.9,36.1,14.3,0 / 4,0 / 3,19.5,16.7,14.3,0 / 4,0 / 3,9.2,16.7,0.0,0 / 4,0 / 3,18.4,13.9,9.5,0 / 4,0 / 3,34.5,60.5,21.7,0 / 10,0 / 2,44.6,66.7,4 / 11,0 / 4,0 / 1,40.0,54.2,3 / 11,0 / 4,0 / 1,26.2,25.0,3 / 11,0 / 4,0 / 1,12.3,25.0,0 / 11,0 / 4,0 / 1,24.6,20.8,2 / 11,0 / 4,0 / 1,64,25,18,5,3,57,17,16,4,2,1.4,0.9,1.5,1.0,0.7,1.6,1.6,1.9,2.0,3.0,36.0,29.6,17.9,2 / 8,1 / 6,47.4,6 / 17,5 / 16,2 / 4,1 / 2,35.1,6 / 17,4 / 16,1 / 4,1 / 2,24.6,5 / 17,3 / 16,1 / 4,1 / 2,8.8,1 / 17,1 / 16,0 / 4,0 / 2,21.1,3 / 17,1 / 16,0 / 4,0 / 2,25,15,10,2,3,2,4,0,0,0,7,8,28,12,6,7,23,9,2.0,2.0,1.5,1.9,5 / 12,5 / 14,25.7,3 / 17,4 / 6,3 / 7,34.8,2 / 9,3 / 6,1 / 7,26.1,2 / 9,2 / 6,0 / 7,21.7,1 / 9,1 / 6,1 / 7,4.3,1 / 9,1 / 6,0 / 7,13.0,1 / 9,,ART Fertility Program of Alabama,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AL
3,UNIVERSITY OF ALABAMA AT BIRMINGHAM,REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,BIRMINGHAM,ALABAMA,289,2,"G. Wright Bates, MD",100%,0%,0%,56%,21%,21%,17%,26%,13%,5%,33%,9%,17%,16%,18%,56,12,10,5,2,10.7,0 / 12,2 / 10,0 / 5,1 / 2,28,4,5,2,0,1.3,1.8,2.0,3.0,,67.9,0 / 3,0 / 4,0 / 2,,25.0,0 / 12,4 / 10,0 / 5,0 / 2,25.0,0 / 12,3 / 10,0 / 5,0 / 2,23.2,0 / 12,2 / 10,0 / 5,0 / 2,1.8,0 / 12,1 / 10,0 / 5,0 / 2,21.4,0 / 12,1 / 10,0 / 5,0 / 2,40.5,0 / 7,6 / 10,0 / 6,,50.0,0 / 4,4 / 5,0 / 2,,50.0,0 / 4,3 / 5,0 / 2,,46.4,0 / 4,2 / 5,0 / 2,,3.6,0 / 4,1 / 5,0 / 2,,42.9,0 / 4,1 / 5,0 / 2,,69,35,18,4,0,57,32,14,2,0,1.3,1.3,1.2,1.0,,1.2,1.2,1.3,1.5,,55.7,45.9,9 / 18,0 / 3,,66.7,53.1,9 / 14,0 / 2,,56.1,46.9,6 / 14,0 / 2,,54.4,43.8,6 / 14,0 / 2,,1.8,3.1,0 / 14,0 / 2,,42.1,37.5,4 / 14,0 / 2,,24,18,11,2,0,4,2,1,0,0,5,2,14,0,5,1,14,0,1.4,1.0,1.5,,4 / 7,1 / 1,57.1,,4 / 5,1 / 1,10 / 14,,4 / 5,1 / 1,9 / 14,,4 / 5,1 / 1,7 / 14,,0 / 5,0 / 1,2 / 14,,2 / 5,1 / 1,6 / 14,,,"University of Alabama at Birmingham, Reproductive Endocrinology and Infertility",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AL
4,CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,324,0,"George T. Koulianos, MD",100%,0%,3%,84%,7%,18%,16%,14%,15%,5%,38%,6%,3%,6%,8%,76,32,20,7,0,5.3,25.0,5.0,5 / 7,,43,17,13,1,0,1.4,1.8,2.2,1.0,,55.0,2 / 15,0 / 11,,,27.6,31.3,30.0,0 / 7,,25.0,25.0,30.0,0 / 7,,18.4,18.8,20.0,0 / 7,,6.6,6.3,10.0,0 / 7,,17.1,15.6,15.0,0 / 7,,41.7,42.3,32.1,0 / 1,,48.8,10 / 17,6 / 13,0 / 1,,44.2,8 / 17,6 / 13,0 / 1,,32.6,6 / 17,4 / 13,0 / 1,,11.6,2 / 17,2 / 13,0 / 1,,30.2,5 / 17,3 / 13,0 / 1,,71,19,20,3,3,70,19,19,3,2,1.2,1.5,1.2,0.3,0.4,1.5,1.4,1.8,2.0,1.5,44.0,36.0,36.4,2 / 6,1 / 3,54.3,8 / 19,10 / 19,1 / 3,1 / 2,47.1,7 / 19,7 / 19,1 / 3,1 / 2,37.1,5 / 19,4 / 19,1 / 3,1 / 2,10.0,2 / 19,3 / 19,0 / 3,0 / 2,32.9,5 / 19,4 / 19,0 / 3,0 / 2,21,5,8,10,5,5,2,0,0,0,0,16,8,0,0,11,8,0,,1.5,1.8,,,5 / 15,1 / 11,,,6 / 11,3 / 8,,,5 / 11,1 / 8,,,5 / 11,1 / 8,,,0 / 11,0 / 8,,,4 / 11,1 / 8,,,Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AL
5,UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,,MOBILE,ALABAMA,39,0,"Botros M. Rizk, MD",100%,0%,0%,80%,0%,33%,39%,41%,18%,54%,46%,10%,0%,44%,44%,15,7,3,5,2,2 / 15,2 / 7,0 / 3,0 / 5,0 / 2,10,5,1,4,2,2.8,2.4,2.0,1.8,2.0,0 / 9,0 / 4,0 / 1,0 / 3,0 / 2,5 / 15,1 / 7,0 / 3,0 / 5,1 / 2,5 / 15,1 / 7,0 / 3,0 / 5,0 / 2,3 / 15,1 / 7,0 / 3,0 / 5,0 / 2,2 / 15,0 / 7,0 / 3,0 / 5,0 / 2,1 / 15,1 / 7,0 / 3,0 / 5,0 / 2,25.0,1 / 12,0 / 2,0 / 7,1 / 4,5 / 10,1 / 5,0 / 1,0 / 4,1 / 2,5 / 10,1 / 5,0 / 1,0 / 4,0 / 2,3 / 10,1 / 5,0 / 1,0 / 4,0 / 2,2 / 10,0 / 5,0 / 1,0 / 4,0 / 2,1 / 10,1 / 5,0 / 1,0 / 4,0 / 2,5,0,1,1,0,5,0,1,1,0,1.7,,,1.0,,2.4,,2.0,2.0,,1 / 12,,0 / 2,0 / 2,,1 / 5,,0 / 1,0 / 1,,1 / 5,,0 / 1,0 / 1,,1 / 5,,0 / 1,0 / 1,,0 / 5,,0 / 1,0 / 1,,1 / 5,,0 / 1,0 / 1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of South Alabama IVF and ART Program,No,No,Yes,Yes,Yes,No,Yes,Yes,0,AL
6,NEW DIRECTION FERTILITY CENTERS,,GILBERT,ARIZONA,795,1,"Mark Amols, MD",100%,0%,0%,81%,52%,8%,14%,8%,9%,3%,21%,98%,<1%,36%,21%,3,1,0,0,1,0 / 3,0 / 1,,,0 / 1,3,0,0,0,1,1.7,,,,4.0,0 / 2,,,,0 / 1,3 / 3,0 / 1,,,0 / 1,3 / 3,0 / 1,,,0 / 1,3 / 3,0 / 1,,,0 / 1,0 / 3,0 / 1,,,0 / 1,2 / 3,0 / 1,,,0 / 1,3 / 5,,,,0 / 4,3 / 3,,,,0 / 1,3 / 3,,,,0 / 1,3 / 3,,,,0 / 1,0 / 3,,,,0 / 1,2 / 3,,,,0 / 1,184,66,30,8,7,184,64,30,7,7,0.8,0.6,0.5,0.2,0.2,1.7,1.6,1.7,1.3,1.4,58.5,51.0,51.0,4 / 9,5 / 10,72.3,64.1,73.3,3 / 7,4 / 7,64.1,59.4,56.7,3 / 7,4 / 7,42.4,42.2,43.3,2 / 7,3 / 7,21.2,17.2,13.3,1 / 7,1 / 7,35.9,29.7,30.0,2 / 7,2 / 7,235,111,58,38,42,9,8,4,0,0,2,1,6,1,2,1,6,1,2.0,2.0,1.8,1.0,2 / 4,2 / 2,9 / 11,1 / 1,1 / 2,1 / 1,6 / 6,1 / 1,1 / 2,1 / 1,6 / 6,1 / 1,0 / 2,0 / 1,3 / 6,1 / 1,1 / 2,1 / 1,3 / 6,0 / 1,0 / 2,0 / 1,2 / 6,0 / 1,,New Direction Fertility Centers,No,No,Yes,Yes,Yes,No,No,Pending,0,AZ
7,TROCHÉ FERTILITY CENTERS,,GLENDALE,ARIZONA,215,0,"Vladimir Troché, MD",100%,0%,3%,79%,10%,17%,19%,41%,4%,<1%,80%,6%,1%,5%,55%,36,27,14,2,5,0.0,7.4,0 / 14,0 / 2,1 / 5,30,25,13,2,4,1.7,2.2,2.2,5.0,2.8,33.3,8.0,0 / 10,0 / 2,0 / 3,47.2,59.3,3 / 14,1 / 2,1 / 5,47.2,51.9,1 / 14,1 / 2,0 / 5,25.0,29.6,0 / 14,1 / 2,0 / 5,22.2,22.2,1 / 14,0 / 2,0 / 5,22.2,22.2,0 / 14,1 / 2,0 / 5,48.1,40.4,12.0,1 / 10,2 / 11,56.7,64.0,3 / 13,1 / 2,1 / 4,56.7,56.0,1 / 13,1 / 2,0 / 4,30.0,32.0,0 / 13,1 / 2,0 / 4,26.7,24.0,1 / 13,0 / 2,0 / 4,26.7,24.0,0 / 13,1 / 2,0 / 4,41,14,11,2,6,40,12,11,2,5,2.1,1.1,2.8,2.0,1.3,1.6,1.5,1.7,2.5,2.2,22.0,5 / 18,7 / 14,1 / 5,3 / 11,32.5,5 / 12,8 / 11,1 / 2,2 / 5,25.0,5 / 12,5 / 11,1 / 2,2 / 5,20.0,5 / 12,5 / 11,1 / 2,1 / 5,5.0,0 / 12,0 / 11,0 / 2,1 / 5,15.0,5 / 12,5 / 11,1 / 2,1 / 5,7,8,1,1,3,1,1,0,0,0,12,0,21,4,9,0,19,3,1.7,,1.6,1.7,6 / 15,,23.3,3 / 5,3 / 9,,5 / 19,2 / 3,3 / 9,,5 / 19,2 / 3,0 / 9,,4 / 19,1 / 3,3 / 9,,0 / 19,1 / 3,0 / 9,,3 / 19,0 / 3,,Troché Fertility Centers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
8,ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,,PHOENIX,ARIZONA,398,1,"Drew V. Moffitt, MD",100%,0%,2%,66%,26%,19%,17%,47%,10%,3%,46%,9%,4%,16%,29%,1,0,0,1,1,0 / 1,,,0 / 1,0 / 1,1,0,0,1,1,1.0,,,5.0,2.0,1 / 1,,,0 / 1,0 / 1,0 / 1,,,1 / 1,0 / 1,0 / 1,,,1 / 1,0 / 1,0 / 1,,,1 / 1,0 / 1,0 / 1,,,0 / 1,0 / 1,0 / 1,,,1 / 1,0 / 1,0 / 1,,,1 / 5,0 / 2,0 / 1,,,1 / 1,0 / 1,0 / 1,,,1 / 1,0 / 1,0 / 1,,,1 / 1,0 / 1,0 / 1,,,0 / 1,0 / 1,0 / 1,,,1 / 1,0 / 1,101,52,30,6,11,96,49,27,6,10,1.4,1.3,0.9,0.5,0.6,1.5,1.4,1.5,1.2,1.5,39.4,35.5,44.7,2 / 6,4 / 15,47.9,44.9,59.3,2 / 6,4 / 10,40.6,32.7,48.1,1 / 6,4 / 10,33.3,28.6,37.0,0 / 6,4 / 10,6.3,4.1,11.1,1 / 6,0 / 10,29.2,24.5,37.0,0 / 6,3 / 10,66,39,31,12,18,4,3,1,0,0,4,1,21,2,4,1,20,2,1.3,1.0,1.2,2.0,4 / 5,0 / 1,52.2,1 / 4,3 / 4,0 / 1,55.0,1 / 2,3 / 4,0 / 1,45.0,1 / 2,2 / 4,0 / 1,40.0,1 / 2,1 / 4,0 / 1,5.0,0 / 2,1 / 4,0 / 1,35.0,1 / 2,,Arizona Reproductive Medicine Specialists,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
9,GONDRA CENTER FOR REPRODUCTIVE CARE & ADVANCED GYNECOLOGY,,PHOENIX,ARIZONA,12,0,"Maria M. Gondra, MD",100%,0%,0%,91%,18%,18%,0%,46%,55%,18%,55%,0%,9%,18%,55%,3,0,0,1,0,0 / 3,,,0 / 1,,2,0,0,1,0,2.0,,,3.0,,0 / 2,,,0 / 1,,2 / 3,,,1 / 1,,2 / 3,,,1 / 1,,1 / 3,,,1 / 1,,1 / 3,,,0 / 1,,0 / 3,,,1 / 1,,3 / 4,,,1 / 3,,2 / 2,,,1 / 1,,2 / 2,,,1 / 1,,1 / 2,,,1 / 1,,1 / 2,,,0 / 1,,0 / 2,,,1 / 1,,1,2,0,2,0,1,1,0,2,0,0.5,1.0,,2.0,,2.0,2.0,,2.0,,0 / 2,0 / 2,,0 / 4,,0 / 1,0 / 1,,0 / 2,,0 / 1,0 / 1,,0 / 2,,0 / 1,0 / 1,,0 / 2,,0 / 1,0 / 1,,0 / 2,,0 / 1,0 / 1,,0 / 2,,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,,1.5,,,,1 / 3,,,,1 / 2,,,,1 / 2,,,,1 / 2,,,,0 / 2,,,,0 / 2,,,,Gondra Center for Reproductive Care & Advanced Gynecology,No,No,Yes,Yes,Yes,Yes,No,No,0,AZ
10,SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,122,1,"Sujatha Gunnala, MD",100%,0%,1%,67%,14%,16%,17%,33%,12%,7%,35%,7%,10%,9%,24%,24,6,10,2,4,4.2,0 / 6,3 / 10,0 / 2,0 / 4,19,5,5,2,4,1.7,2.0,2.4,2.5,3.3,8 / 19,0 / 4,0 / 5,0 / 2,0 / 4,41.7,1 / 6,1 / 10,1 / 2,0 / 4,29.2,1 / 6,1 / 10,1 / 2,0 / 4,20.8,0 / 6,1 / 10,1 / 2,0 / 4,8.3,1 / 6,0 / 10,0 / 2,0 / 4,16.7,0 / 6,1 / 10,0 / 2,0 / 4,36.7,2 / 10,1 / 12,1 / 5,0 / 13,10 / 19,1 / 5,1 / 5,1 / 2,0 / 4,7 / 19,1 / 5,1 / 5,1 / 2,0 / 4,5 / 19,0 / 5,1 / 5,1 / 2,0 / 4,2 / 19,1 / 5,0 / 5,0 / 2,0 / 4,4 / 19,0 / 5,1 / 5,0 / 2,0 / 4,15,10,6,2,4,15,10,6,2,4,1.9,1.3,1.5,0.4,0.7,1.7,1.9,1.7,2.0,1.8,38.5,8 / 17,4 / 10,1 / 4,2 / 7,8 / 15,7 / 10,3 / 6,1 / 2,2 / 4,7 / 15,6 / 10,3 / 6,1 / 2,1 / 4,5 / 15,5 / 10,2 / 6,1 / 2,1 / 4,2 / 15,1 / 10,1 / 6,0 / 2,0 / 4,5 / 15,3 / 10,2 / 6,0 / 2,1 / 4,5,6,4,4,6,1,1,2,2,0,3,0,8,2,3,0,8,1,1.7,,2.1,1.0,3 / 5,,6 / 17,0 / 1,2 / 3,,4 / 8,0 / 1,2 / 3,,3 / 8,0 / 1,1 / 3,,2 / 8,0 / 1,1 / 3,,1 / 8,0 / 1,1 / 3,,2 / 8,0 / 1,,Southwest Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
